Date,Stock Open (CAD),Stock Close (CAD),Mutual Fund Price
2016-01-11,22.466,22.366,9.15
2016-01-12,22.825,22.691,9.15
2016-01-13,22.773,22.108,9.03
2016-01-14,22.237,22.591,8.57
2016-01-15,21.837,22.049,8.37
2016-01-19,22.339,21.942,8.43
2016-01-20,21.588,21.971,8.48
2016-01-21,22.033,21.860,8.59
2016-01-22,22.389,23.022,8.49
2016-01-25,23.045,22.573,8.35
2016-01-26,22.684,22.698,8.42
2016-01-27,21.801,21.206,8.47
2016-01-28,21.290,21.358,8.53
2016-01-29,21.517,22.096,8.52
2016-02-01,21.899,21.890,8.52
2016-02-02,21.660,21.447,8.63
2016-02-03,21.565,21.871,8.55
2016-02-04,21.878,22.047,8.47
2016-02-05,22.029,21.458,8.28
2016-02-08,21.255,21.684,8.29
2016-02-09,21.520,21.680,8.2
2016-02-10,21.892,21.515,7.98
2016-02-11,21.406,21.385,7.9
2016-02-12,21.497,21.452,7.93
2016-02-16,21.687,22.056,8
2016-02-17,22.063,22.394,7.76
2016-02-18,22.558,21.970,7.89
2016-02-19,21.910,21.919,7.72
2016-02-22,21.981,22.111,7.71
2016-02-23,22.002,21.611,7.66
2016-02-24,21.449,21.933,7.71
2016-02-25,21.922,22.084,7.88
2016-02-26,22.184,22.118,7.78
2016-02-29,22.107,22.068,7.85
2016-03-01,22.287,22.944,7.71
2016-03-02,22.940,22.994,7.83
2016-03-03,22.956,23.166,7.97
2016-03-04,23.364,23.510,7.99
2016-03-07,23.369,23.250,7.86
2016-03-08,23.001,23.058,7.85
2016-03-09,23.122,23.079,7.81
2016-03-10,23.145,23.090,7.55
2016-03-11,23.334,23.339,7.41
2016-03-14,23.259,23.398,7.42
2016-03-15,23.727,23.869,7.47
2016-03-16,23.875,24.186,7.4
2016-03-17,24.083,24.147,7.5
2016-03-18,24.270,24.174,7.63
2016-03-21,24.177,24.172,7.74
2016-03-22,24.021,24.357,7.67
2016-03-23,24.302,24.222,7.69
2016-03-24,24.072,24.117,7.82
2016-03-28,24.193,24.008,7.73
2016-03-29,23.939,24.576,7.77
2016-03-30,24.797,25.005,7.87
2016-03-31,25.042,24.875,7.85
2016-04-01,24.827,25.103,7.77
2016-04-04,25.201,25.361,7.96
2016-04-05,24.994,25.062,7.96
2016-04-06,25.158,25.325,7.94
2016-04-07,25.094,24.772,7.93
2016-04-08,24.857,24.800,7.88
2016-04-11,24.870,24.882,7.81
2016-04-12,24.955,25.206,7.86
2016-04-13,25.288,25.571,7.86
2016-04-14,25.475,25.585,7.99
2016-04-15,25.587,25.071,8
2016-04-18,24.852,24.530,7.98
2016-04-19,24.622,24.400,8.02
2016-04-20,24.339,24.451,8
2016-04-21,24.405,24.186,8.02
2016-04-22,23.967,24.120,8.06
2016-04-25,23.964,23.983,8.08
2016-04-26,23.716,23.816,8.03
2016-04-27,21.910,22.326,8.03
2016-04-28,22.278,21.643,8.01
2016-04-29,21.452,21.394,8.1
2016-05-02,21.447,21.372,8.14
2016-05-03,21.499,21.723,8.1
2016-05-04,21.728,21.497,8.18
2016-05-05,21.584,21.410,8.15
2016-05-06,21.440,21.291,8.04
2016-05-09,21.355,21.307,8.15
2016-05-10,21.431,21.451,8.06
2016-05-11,21.465,21.242,8.04
2016-05-12,21.291,20.744,8
2016-05-13,20.666,20.785,8.05
2016-05-16,21.215,21.557,8.13
2016-05-17,21.711,21.467,8.15
2016-05-18,21.621,21.713,8.13
2016-05-19,21.731,21.630,8.2
2016-05-20,21.731,21.865,8.19
2016-05-23,22.014,22.142,8.2
2016-05-24,22.324,22.480,8.19
2016-05-25,22.657,22.875,8.1
2016-05-26,22.889,23.056,8.06
2016-05-27,22.834,23.043,8.03
2016-05-31,22.870,22.930,8
2016-06-01,22.737,22.609,7.92
2016-06-02,22.411,22.439,7.91
2016-06-03,22.455,22.485,7.99
2016-06-06,22.501,22.648,7.92
2016-06-07,22.790,22.739,7.89
2016-06-08,22.737,22.719,7.89
2016-06-09,22.618,22.882,7.91
2016-06-10,22.625,22.694,7.95
2016-06-13,22.661,22.351,8.06
2016-06-14,22.347,22.379,7.97
2016-06-15,22.462,22.305,7.96
2016-06-16,22.147,22.400,7.93
2016-06-17,22.186,21.890,7.99
2016-06-20,22.044,21.837,7.91
2016-06-21,21.800,22.023,7.93
2016-06-22,22.101,21.940,7.9
2016-06-23,22.030,22.067,7.94
2016-06-24,21.334,21.447,7.92
2016-06-27,21.355,21.134,8.04
2016-06-28,21.332,21.490,8.07
2016-06-29,21.578,21.676,8.07
2016-06-30,21.685,21.952,8.1
2016-07-01,21.927,22.018,8.11
2016-07-05,21.904,21.812,8.11
2016-07-06,21.722,21.936,8.12
2016-07-07,21.975,22.030,8.08
2016-07-08,22.156,22.200,8.09
2016-07-11,22.216,22.269,8.08
2016-07-12,22.312,22.370,8.11
2016-07-13,22.367,22.243,8.09
2016-07-14,22.363,22.684,8
2016-07-15,22.714,22.682,7.94
2016-07-18,22.664,22.923,7.94
2016-07-19,22.861,22.932,7.91
2016-07-20,22.962,22.953,7.91
2016-07-21,22.923,22.831,7.83
2016-07-22,22.792,22.654,7.85
2016-07-25,22.560,22.351,7.86
2016-07-26,22.232,22.198,7.84
2016-07-27,23.943,23.640,7.94
2016-07-28,23.612,23.959,7.68
2016-07-29,23.924,23.929,7.56
2016-08-01,23.975,24.351,7.73
2016-08-02,24.351,23.991,7.82
2016-08-03,24.067,24.292,7.86
2016-08-04,24.375,24.442,7.9
2016-08-05,24.534,24.813,7.87
2016-08-08,24.823,25.019,7.93
2016-08-09,24.987,25.120,7.94
2016-08-10,25.097,24.933,8.04
2016-08-11,25.054,24.917,8.08
2016-08-12,24.883,24.975,8.12
2016-08-15,24.966,25.275,8.08
2016-08-16,25.310,25.252,8.13
2016-08-17,25.187,25.215,8.11
2016-08-18,25.217,25.183,8.15
2016-08-19,25.111,25.247,8.15
2016-08-22,25.132,25.051,8.23
2016-08-23,25.070,25.130,8.2
2016-08-24,25.065,24.940,8.21
2016-08-25,24.793,24.834,8.21
2016-08-26,24.797,24.689,8.18
2016-08-29,24.615,24.661,8.22
2016-08-30,24.426,24.472,8.29
2016-08-31,24.393,24.495,8.3
2016-09-01,24.504,24.640,8.34
2016-09-02,24.864,24.871,8.29
2016-09-06,24.910,24.864,8.31
2016-09-07,24.894,25.017,8.33
2016-09-08,24.760,24.361,8.4
2016-09-09,24.158,23.809,8.38
2016-09-12,23.698,24.342,8.39
2016-09-13,24.820,24.922,8.36
2016-09-14,25.102,25.804,8.41
2016-09-15,26.286,26.681,8.4
2016-09-16,26.577,26.531,8.42
2016-09-19,26.593,26.222,8.37
2016-09-20,26.099,26.219,8.38
2016-09-21,26.284,26.215,8.38
2016-09-22,26.399,26.462,8.37
2016-09-23,26.416,26.021,8.39
2016-09-26,25.774,26.060,8.41
2016-09-27,26.088,26.109,8.33
2016-09-28,26.247,26.307,8.3
2016-09-29,26.125,25.898,8.31
2016-09-30,25.963,26.099,8.31
2016-10-03,26.021,25.977,8.29
2016-10-04,26.102,26.088,8.26
2016-10-05,26.180,26.099,8.27
2016-10-06,26.249,26.293,8.28
2016-10-07,26.390,26.333,8.33
2016-10-10,26.554,26.792,8.35
2016-10-11,27.173,26.850,8.34
2016-10-12,27.092,27.090,8.15
2016-10-13,26.963,27.007,8.28
2016-10-14,27.214,27.157,8.19
2016-10-17,27.087,27.138,8.22
2016-10-18,27.284,27.120,8.31
2016-10-19,27.069,27.039,8.31
2016-10-20,26.979,27.025,8.28
2016-10-21,26.967,26.919,8.3
2016-10-24,27.034,27.161,8.37
2016-10-25,27.231,27.300,8.43
2016-10-26,26.390,26.686,8.35
2016-10-27,26.640,26.429,8.27
2016-10-28,26.289,26.254,8.34
2016-10-31,26.238,26.212,8.36
2016-11-01,26.194,25.739,8.28
2016-11-02,25.718,25.762,8.35
2016-11-03,25.753,25.486,8.33
2016-11-04,25.184,25.256,8.32
2016-11-07,25.544,25.621,8.34
2016-11-08,25.598,25.772,8.35
2016-11-09,25.498,25.730,8.33
2016-11-10,25.779,25.013,8.39
2016-11-11,24.857,25.161,8.28
2016-11-14,24.994,24.530,8.26
2016-11-15,24.730,24.855,8.23
2016-11-16,24.760,25.523,8.23
2016-11-17,25.482,25.514,8.2
2016-11-18,25.461,25.540,8.25
2016-11-21,25.553,25.927,8.27
2016-11-22,25.978,25.943,8.27
2016-11-23,25.841,25.811,8.32
2016-11-25,25.788,25.941,8.38
2016-11-28,25.857,25.890,8.34
2016-11-29,25.707,25.864,8.29
2016-11-30,25.897,25.646,8.28
2016-12-01,25.611,25.407,8.25
2016-12-02,25.333,25.502,8.23
2016-12-05,25.526,25.319,8.18
2016-12-06,25.410,25.514,8.08
2016-12-07,25.354,25.765,8
2016-12-08,25.725,26.018,8.01
2016-12-09,26.062,26.442,8.18
2016-12-12,26.289,26.291,8.19
2016-12-13,26.417,26.730,8.3
2016-12-14,26.695,26.730,8.22
2016-12-15,26.774,26.876,8.21
2016-12-16,27.027,26.911,8.1
2016-12-19,26.871,27.066,8.2
2016-12-20,27.090,27.138,8.23
2016-12-21,27.104,27.164,8.31
2016-12-22,26.999,26.985,8.29
2016-12-23,26.823,27.039,8.37
2016-12-27,27.039,27.210,8.34
2016-12-28,27.271,27.094,8.33
2016-12-29,27.022,27.087,8.35
2016-12-30,27.069,26.876,8.29
2017-01-03,26.871,26.953,8.32
2017-01-04,26.883,26.923,8.25
2017-01-05,26.899,27.059,8.15
2017-01-06,27.099,27.361,8.13
2017-01-09,27.370,27.612,8.23
2017-01-10,27.561,27.640,8.24
2017-01-11,27.554,27.788,8.34
2017-01-12,27.591,27.672,8.32
2017-01-13,27.640,27.623,8.37
2017-01-17,27.461,27.846,8.29
2017-01-18,27.846,27.844,8.37
2017-01-19,27.707,27.795,8.37
2017-01-20,27.951,27.846,8.33
